id,route_name,route_link,busname,bustype,departing_time,duration,reaching_time,star_rating,price,seats_available
99,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Sri Balaji Holidays,Volvo A/C Semi Sleeper (2+2),2024-09-12 22:20:00,07h 10m,2024-09-13 05:30:00,3.3,1799.0,37
100,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Sri Balaji Holidays,Volvo A/C Semi Sleeper (2+2),2024-09-12 22:20:00,07h 45m,2024-09-13 06:05:00,3.3,1799.0,37
101,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Sam Tours and Travels,A/C Classy Seater (2+2),2024-09-12 20:00:00,09h 50m,2024-09-13 05:50:00,3.2,1699.0,20
102,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Sam Tours and Travels,A/C Classy Seater (2+2),2024-09-12 20:00:00,09h 05m,2024-09-13 05:05:00,3.2,1699.0,21
103,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Sam Tours and Travels,A/C Semi Sleeper (2+2),2024-09-12 21:45:00,07h 20m,2024-09-13 05:05:00,3.2,1699.0,8
104,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bharathi Travels,A/C Sleeper (2+1),2024-09-12 23:45:00,07h 15m,2024-09-13 07:00:00,3.1,2490.0,30
105,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Bharathi Travels,A/C Sleeper (2+1),2024-09-12 23:45:00,07h 45m,2024-09-13 07:30:00,3.1,2490.0,24
106,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,Sri Tourist,A/C Sleeper (2+1),2024-09-12 21:00:00,07h 00m,2024-09-13 04:00:00,2.5,1999.0,31
107,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,AGR Travels,A/C Sleeper (2+1),2024-09-12 20:15:00,09h 16m,2024-09-13 05:31:00,0.0,2200.0,24
108,Bangalore to Kalpetta (kerala),https://www.redbus.in/bus-tickets/bangalore-to-kalpetta,AGR Travels,A/C Sleeper (2+1),2024-09-12 20:15:00,09h 15m,2024-09-13 05:30:00,0.0,2200.0,24
109,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 561,Super Express Non AC Seater Air Bus (2+2),2024-09-12 01:55:00,05h 45m,2024-09-12 07:40:00,4.2,306.0,11
110,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 1377,AC MULTI AXLE,2024-09-12 02:20:00,05h 15m,2024-09-12 07:35:00,3.8,494.0,12
112,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 368,AC MULTI AXLE,2024-09-12 03:05:00,05h 00m,2024-09-12 08:05:00,3.8,494.0,18
113,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 1126,Super Fast Non AC Seater (2+3),2024-09-12 03:16:00,06h 15m,2024-09-12 09:31:00,4.1,273.0,43
115,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 788,Super Fast Non AC Seater (2+3),2024-09-12 07:00:00,05h 45m,2024-09-12 12:45:00,4.1,285.0,30
116,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 2132,Swift Deluxe Non AC Air Bus (2+2),2024-09-12 07:32:00,05h 27m,2024-09-12 12:59:00,3.6,356.0,9
117,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 580,Super Express Non AC Seater Air Bus (2+2),2024-09-12 08:06:00,05h 20m,2024-09-12 13:26:00,3.8,306.0,23
118,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 983,Super Fast Non AC Seater (2+3),2024-09-12 08:15:00,06h 30m,2024-09-12 14:45:00,3.8,266.0,34
119,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 53,SWIFT-GARUDA A/C SEATER BUS,2024-09-12 08:29:00,04h 51m,2024-09-12 13:20:00,2.7,391.0,6
120,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 791,Super Fast Non AC Seater (2+3),2024-09-12 08:45:00,05h 30m,2024-09-12 14:15:00,3.8,285.0,43
122,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 579,Super Express Non AC Seater Air Bus (2+2),2024-09-12 10:00:00,05h 20m,2024-09-12 15:20:00,2.5,306.0,13
123,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 709,Super Fast Non AC Seater (2+3),2024-09-12 10:30:00,06h 00m,2024-09-12 16:30:00,3.4,285.0,50
124,Kozhikode to Mysore,https://www.redbus.in/bus-tickets/kozhikode-to-mysore,KSRTC (Kerala) - 932,Super Fast Non AC Seater (2+3),2024-09-12 11:15:00,05h 45m,2024-09-12 17:00:00,3.4,273.0,36
